Ticker,Date,Open,High,Low,Close,Volume,Strike,Expiration
O:SPY250303C00585000,2025-03-03,11.01,12.44,0.04,0.2,119395,585,2025-03-03
O:SPY250303C00586000,2025-03-03,8.95,11.44,0.01,0.03,84872,586,2025-03-03
O:SPY250303C00587000,2025-03-03,9.1,10.41,0.01,0.01,98865,587,2025-03-03
O:SPY250303C00588000,2025-03-03,8.25,9.5,0.01,0.01,146735,588,2025-03-03
O:SPY250303C00589000,2025-03-03,7.45,8.57,0.01,0.01,227582,589,2025-03-03
O:SPY250303C00590000,2025-03-03,6.5,7.62,0.01,0.01,368621,590,2025-03-03
O:SPY250303C00591000,2025-03-03,5.62,6.76,0.01,0.01,292811,591,2025-03-03
O:SPY250303C00592000,2025-03-03,4.72,5.85,0.01,0.01,343819,592,2025-03-03
O:SPY250303C00593000,2025-03-03,3.93,5.05,0.01,0.01,485456,593,2025-03-03
O:SPY250303C00594000,2025-03-03,3.39,4.23,0.01,0.01,528258,594,2025-03-03
O:SPY250303C00595000,2025-03-03,2.68,3.5,0.01,0.01,586771,595,2025-03-03
O:SPY250303C00596000,2025-03-03,2.02,2.8,0.01,0.01,400082,596,2025-03-03
O:SPY250303C00597000,2025-03-03,1.43,2.17,0.01,0.01,409316,597,2025-03-03
O:SPY250303C00598000,2025-03-03,1.11,1.62,0.01,0.01,339309,598,2025-03-03
O:SPY250303C00599000,2025-03-03,0.72,1.16,0.01,0.01,223963,599,2025-03-03
O:SPY250303C00600000,2025-03-03,0.5,0.79,0.01,0.01,421319,600,2025-03-03
O:SPY250303C00601000,2025-03-03,0.31,0.51,0.01,0.01,179443,601,2025-03-03
O:SPY250303C00602000,2025-03-03,0.18,0.31,0.01,0.01,122617,602,2025-03-03
O:SPY250303C00603000,2025-03-03,0.1,0.18,0.01,0.01,69229,603,2025-03-03
O:SPY250303C00604000,2025-03-03,0.05,0.1,0.01,0.01,48148,604,2025-03-03
O:SPY250303C00605000,2025-03-03,0.03,0.05,0.01,0.01,30845,605,2025-03-03
O:SPY250303C00606000,2025-03-03,0.02,0.03,0.01,0.01,27439,606,2025-03-03
O:SPY250303C00607000,2025-03-03,0.01,0.02,0.01,0.01,3334,607,2025-03-03
O:SPY250303C00608000,2025-03-03,0.01,0.02,0.01,0.01,9814,608,2025-03-03
O:SPY250303C00609000,2025-03-03,0.01,0.01,0.01,0.01,13193,609,2025-03-03
O:SPY250303C00610000,2025-03-03,0.01,0.02,0.01,0.01,452,610,2025-03-03
O:SPY250303C00611000,2025-03-03,0.01,0.01,0.01,0.01,992,611,2025-03-03
O:SPY250303C00612000,2025-03-03,0.01,0.01,0.01,0.01,100,612,2025-03-03
O:SPY250303C00613000,2025-03-03,0.01,0.01,0.01,0.01,12,613,2025-03-03
O:SPY250303C00614000,2025-03-03,0.01,0.01,0.01,0.01,36,614,2025-03-03
O:SPY250303C00615000,2025-03-03,0.01,0.01,0.01,0.01,16,615,2025-03-03
O:SPY250303C00616000,2025-03-03,0.01,0.01,0.01,0.01,24,616,2025-03-03
O:SPY250303C00617000,2025-03-03,0.01,0.01,0.01,0.01,56,617,2025-03-03
O:SPY250303C00619000,2025-03-03,0.01,0.01,0.01,0.01,2,619,2025-03-03
O:SPY250303C00620000,2025-03-03,0.01,0.01,0.01,0.01,1420,620,2025-03-03
O:SPY250303C00622000,2025-03-03,0.01,0.01,0.01,0.01,40,622,2025-03-03
O:SPY250303C00624000,2025-03-03,0.01,0.01,0.01,0.01,460,624,2025-03-03
O:SPY250303C00625000,2025-03-03,0.01,0.01,0.01,0.01,4,625,2025-03-03
O:SPY250303C00629000,2025-03-03,0.01,0.01,0.01,0.01,20,629,2025-03-03
O:SPY250303C00630000,2025-03-03,0.01,0.01,0.01,0.01,122,630,2025-03-03
O:SPY250303C00695000,2025-03-03,0.01,0.01,0.01,0.01,2,695,2025-03-03
O:SPY250303P00400000,2025-03-03,0.01,0.01,0.01,0.01,2,400,2025-03-03
O:SPY250303P00495000,2025-03-03,0.01,0.01,0.01,0.01,2,495,2025-03-03
O:SPY250303P00500000,2025-03-03,0.01,0.01,0.01,0.01,2,500,2025-03-03
O:SPY250303P00505000,2025-03-03,0.01,0.01,0.01,0.01,12,505,2025-03-03
O:SPY250303P00515000,2025-03-03,0.01,0.01,0.01,0.01,102,515,2025-03-03
O:SPY250303P00520000,2025-03-03,0.01,0.01,0.01,0.01,2,520,2025-03-03
O:SPY250303P00530000,2025-03-03,0.01,0.01,0.01,0.01,2,530,2025-03-03
O:SPY250303P00535000,2025-03-03,0.01,0.01,0.01,0.01,4,535,2025-03-03
O:SPY250303P00540000,2025-03-03,0.02,0.02,0.01,0.01,44,540,2025-03-03
O:SPY250303P00545000,2025-03-03,0.01,0.01,0.01,0.01,214,545,2025-03-03
O:SPY250303P00550000,2025-03-03,0.01,0.01,0.01,0.01,36,550,2025-03-03
O:SPY250303P00551000,2025-03-03,0.01,0.01,0.01,0.01,2,551,2025-03-03
O:SPY250303P00552000,2025-03-03,0.01,0.01,0.01,0.01,4,552,2025-03-03
O:SPY250303P00555000,2025-03-03,0.01,0.01,0.01,0.01,204,555,2025-03-03
O:SPY250303P00556000,2025-03-03,0.01,0.01,0.01,0.01,202,556,2025-03-03
O:SPY250303P00557000,2025-03-03,0.01,0.01,0.01,0.01,204,557,2025-03-03
O:SPY250303P00558000,2025-03-03,0.01,0.01,0.01,0.01,2,558,2025-03-03
O:SPY250303P00559000,2025-03-03,0.01,0.01,0.01,0.01,6,559,2025-03-03
O:SPY250303P00560000,2025-03-03,0.01,0.01,0.01,0.01,450,560,2025-03-03
O:SPY250303P00561000,2025-03-03,0.01,0.01,0.01,0.01,2,561,2025-03-03
O:SPY250303P00562000,2025-03-03,0.03,0.03,0.01,0.01,128,562,2025-03-03
O:SPY250303P00563000,2025-03-03,0.01,0.01,0.01,0.01,20,563,2025-03-03
O:SPY250303P00564000,2025-03-03,0.01,0.01,0.01,0.01,22,564,2025-03-03
O:SPY250303P00565000,2025-03-03,0.01,0.01,0.01,0.01,44,565,2025-03-03
O:SPY250303P00566000,2025-03-03,0.01,0.02,0.01,0.01,146,566,2025-03-03
O:SPY250303P00567000,2025-03-03,0.01,0.02,0.01,0.01,1198,567,2025-03-03
O:SPY250303P00568000,2025-03-03,0.01,0.02,0.01,0.02,2430,568,2025-03-03
O:SPY250303P00569000,2025-03-03,0.01,0.02,0.01,0.01,3790,569,2025-03-03
O:SPY250303P00570000,2025-03-03,0.01,0.02,0.01,0.01,4326,570,2025-03-03
O:SPY250303P00571000,2025-03-03,0.01,0.03,0.01,0.01,5625,571,2025-03-03
O:SPY250303P00572000,2025-03-03,0.01,0.04,0.01,0.01,13764,572,2025-03-03
O:SPY250303P00573000,2025-03-03,0.01,0.04,0.01,0.01,17688,573,2025-03-03
O:SPY250303P00574000,2025-03-03,0.01,0.06,0.01,0.01,31644,574,2025-03-03
O:SPY250303P00575000,2025-03-03,0.05,0.09,0.01,0.01,37292,575,2025-03-03
O:SPY250303P00576000,2025-03-03,0.01,0.14,0.01,0.01,83117,576,2025-03-03
O:SPY250303P00577000,2025-03-03,0.02,1.18,0.01,0.01,71927,577,2025-03-03
O:SPY250303P00578000,2025-03-03,0.02,1.2,0.01,0.01,108250,578,2025-03-03
O:SPY250303P00579000,2025-03-03,0.05,0.87,0.01,0.01,143952,579,2025-03-03
O:SPY250303P00580000,2025-03-03,0.05,1.23,0.01,0.01,358317,580,2025-03-03
O:SPY250303P00581000,2025-03-03,0.04,1.68,0.01,0.01,278733,581,2025-03-03
O:SPY250303P00582000,2025-03-03,0.05,2.4,0.01,0.01,313523,582,2025-03-03
O:SPY250303P00583000,2025-03-03,0.11,3.21,0.01,0.02,280234,583,2025-03-03
O:SPY250303P00584000,2025-03-03,0.13,4.07,0.04,0.12,232690,584,2025-03-03
O:SPY250303P00585000,2025-03-03,0.17,5.05,0.06,0.5,386356,585,2025-03-03
O:SPY250303P00586000,2025-03-03,0.19,6,0.09,1.2,290817,586,2025-03-03
O:SPY250303P00587000,2025-03-03,0.24,6.76,0.12,2.38,324798,587,2025-03-03
O:SPY250303P00588000,2025-03-03,0.32,7.88,0.17,3.36,402818,588,2025-03-03
O:SPY250303P00589000,2025-03-03,0.37,9.03,0.23,4.38,471388,589,2025-03-03
O:SPY250303P00590000,2025-03-03,0.5,9.99,0.33,5.45,554705,590,2025-03-03
O:SPY250303P00591000,2025-03-03,0.63,11,0.47,6.23,378276,591,2025-03-03
O:SPY250303P00592000,2025-03-03,0.82,12,0.59,7.52,441165,592,2025-03-03
O:SPY250303P00593000,2025-03-03,0.98,12.91,0.75,8.51,421336,593,2025-03-03
O:SPY250303P00594000,2025-03-03,1.27,13.49,0.94,9.56,312010,594,2025-03-03
O:SPY250303P00595000,2025-03-03,1.63,14.69,1.18,10.47,179915,595,2025-03-03
O:SPY250303P00596000,2025-03-03,1.98,15.93,1.49,11.45,85327,596,2025-03-03
O:SPY250303P00597000,2025-03-03,2.4,16.6,1.86,12.6,38334,597,2025-03-03
O:SPY250303P00598000,2025-03-03,3.12,16.81,2.3,14.69,12622,598,2025-03-03
O:SPY250303P00599000,2025-03-03,3.77,17.02,2.83,14.16,8650,599,2025-03-03
O:SPY250303P00600000,2025-03-03,4.53,18.61,3.51,15.61,7288,600,2025-03-03
O:SPY250303P00601000,2025-03-03,5.48,20.8,4.25,16.22,1000,601,2025-03-03
O:SPY250303P00602000,2025-03-03,6.2,21.41,5.04,17.72,1936,602,2025-03-03
O:SPY250303P00603000,2025-03-03,7.53,18.74,5.88,18.48,248,603,2025-03-03
O:SPY250303P00604000,2025-03-03,6.94,20.53,6.94,20.53,178,604,2025-03-03
O:SPY250303P00605000,2025-03-03,9.34,23.5,8.08,20.7,430,605,2025-03-03
O:SPY250303P00606000,2025-03-03,11.58,24.75,10.69,21.45,176,606,2025-03-03
O:SPY250303P00607000,2025-03-03,10,17,10,17,42,607,2025-03-03
O:SPY250303P00608000,2025-03-03,11.7,16.5,11.03,16.5,60,608,2025-03-03
O:SPY250303P00609000,2025-03-03,12,28.04,12,26,48,609,2025-03-03
O:SPY250303P00610000,2025-03-03,19.5,28,19.5,25.44,12,610,2025-03-03
O:SPY250303P00612000,2025-03-03,23.63,23.63,23.63,23.63,2,612,2025-03-03
O:SPY250303P00615000,2025-03-03,20.8,20.8,20.8,20.8,2,615,2025-03-03
O:SPY250303P00616000,2025-03-03,20.5,24.6,20.5,24.6,4,616,2025-03-03
O:SPY250303P00630000,2025-03-03,37.98,37.98,37.98,37.98,4,630,2025-03-03
O:SPY250303P00700000,2025-03-03,117.25,119.83,117.25,118.26,18,700,2025-03-03
O:SPY250304C00400000,2025-03-03,191.74,191.74,184.61,184.61,34,400,2025-03-04
O:SPY250304C00400000,2025-03-04,173.82,183.17,172.85,180.05,28,400,2025-03-04
O:SPY250304C00470000,2025-03-04,104.77,104.77,104.77,104.77,2,470,2025-03-04
O:SPY250304C00505000,2025-03-03,88.15,88.15,88.15,88.15,2,505,2025-03-04
O:SPY250304C00510000,2025-03-03,79.76,79.76,79.76,79.76,4,510,2025-03-04
O:SPY250304C00510000,2025-03-04,72.17,72.17,72.17,72.17,4,510,2025-03-04
O:SPY250304C00525000,2025-03-03,67.7,68.14,67.52,67.75,32,525,2025-03-04
O:SPY250304C00530000,2025-03-04,43.05,43.05,43.05,43.05,4,530,2025-03-04
O:SPY250304C00535000,2025-03-03,58.65,58.65,54.46,54.46,4,535,2025-03-04
O:SPY250304C00535000,2025-03-04,38.07,47.16,38.07,47.16,22,535,2025-03-04
O:SPY250304C00545000,2025-03-04,28.06,28.06,28.06,28.06,2,545,2025-03-04
O:SPY250304C00550000,2025-03-03,37.86,37.86,34.32,34.32,4,550,2025-03-04
O:SPY250304C00551000,2025-03-03,38.89,38.89,38.89,38.89,2,551,2025-03-04
O:SPY250304C00551000,2025-03-04,29.46,29.46,29.46,29.46,2,551,2025-03-04
O:SPY250304C00553000,2025-03-03,41.99,41.99,41.99,41.99,20,553,2025-03-04
O:SPY250304C00553000,2025-03-04,21.87,21.87,21.87,21.87,2,553,2025-03-04
O:SPY250304C00554000,2025-03-04,21.92,21.92,20,20,4,554,2025-03-04
O:SPY250304C00555000,2025-03-04,21.33,24.41,21.11,24.41,64,555,2025-03-04
O:SPY250304C00556000,2025-03-04,17.03,17.03,17.03,17.03,62,556,2025-03-04
O:SPY250304C00558000,2025-03-04,17.15,18.53,15.33,18.53,10,558,2025-03-04
O:SPY250304C00559000,2025-03-04,19.3,21.18,15.91,16.34,36,559,2025-03-04
O:SPY250304C00560000,2025-03-04,18.99,20,12.61,18.66,1222,560,2025-03-04
O:SPY250304C00562000,2025-03-04,12.49,16.46,10.9,14.7,136,562,2025-03-04
O:SPY250304C00563000,2025-03-04,13.93,14.96,9.79,13.51,98,563,2025-03-04
O:SPY250304C00564000,2025-03-04,11.18,21,9.14,17.36,270,564,2025-03-04
O:SPY250304C00565000,2025-03-03,19.43,20.35,17.57,19.5,14,565,2025-03-04
O:SPY250304C00565000,2025-03-04,14.19,17.89,7.99,17.54,878,565,2025-03-04
O:SPY250304C00566000,2025-03-03,16.48,16.75,16.15,16.25,8,566,2025-03-04
O:SPY250304C00566000,2025-03-04,13.11,17.9,6.85,10.44,1384,566,2025-03-04
O:SPY250304C00567000,2025-03-03,22.19,24.93,14.6,18.03,852,567,2025-03-04
O:SPY250304C00567000,2025-03-04,11.68,16.63,6.01,16.63,3196,567,2025-03-04
O:SPY250304C00568000,2025-03-03,19.97,19.97,15.55,15.66,6,568,2025-03-04
O:SPY250304C00568000,2025-03-04,11.55,15.2,5.3,11.95,4786,568,2025-03-04
O:SPY250304C00569000,2025-03-03,26.87,26.87,12.34,14.74,18,569,2025-03-04
O:SPY250304C00569000,2025-03-04,10.94,14.3,4.41,8.69,4802,569,2025-03-04
O:SPY250304C00570000,2025-03-03,23.5,23.5,11.28,14.91,200,570,2025-03-04
O:SPY250304C00570000,2025-03-04,10.08,13.89,3.6,8.45,11436,570,2025-03-04
O:SPY250304C00571000,2025-03-03,13.53,13.98,10.54,13.98,82,571,2025-03-04
O:SPY250304C00571000,2025-03-04,8.72,12.47,2.94,7,8602,571,2025-03-04
O:SPY250304C00572000,2025-03-03,19.84,19.84,9.42,12.92,42,572,2025-03-04
O:SPY250304C00572000,2025-03-04,8.34,13.01,2.23,6.49,32202,572,2025-03-04
O:SPY250304C00573000,2025-03-03,23.37,23.37,8.64,12,114,573,2025-03-04
O:SPY250304C00573000,2025-03-04,7.43,12.17,1.82,4.59,162690,573,2025-03-04
O:SPY250304C00574000,2025-03-03,21.48,21.48,8.13,10.97,182,574,2025-03-04
O:SPY250304C00574000,2025-03-04,6.62,11.01,1.3,5.19,162475,574,2025-03-04
O:SPY250304C00575000,2025-03-03,21.5,21.5,6.93,10.42,1096,575,2025-03-04
O:SPY250304C00575000,2025-03-04,5.86,10.3,0.75,2.59,393793,575,2025-03-04
O:SPY250304C00576000,2025-03-03,20.13,20.13,6.23,9.58,480,576,2025-03-04
O:SPY250304C00576000,2025-03-04,5.2,9.27,0.4,2.36,405026,576,2025-03-04
O:SPY250304C00577000,2025-03-03,16.62,17.35,5.54,8.44,1774,577,2025-03-04
O:SPY250304C00577000,2025-03-04,4.44,8.16,0.18,1.93,510746,577,2025-03-04
O:SPY250304C00578000,2025-03-03,16.17,16.17,4.9,7.62,5538,578,2025-03-04
O:SPY250304C00578000,2025-03-04,3.88,7.27,0.07,1.17,400350,578,2025-03-04
O:SPY250304C00579000,2025-03-03,18.49,18.49,4.32,6.92,10564,579,2025-03-04
O:SPY250304C00579000,2025-03-04,3.32,6.38,0.03,0.39,495410,579,2025-03-04
O:SPY250304C00580000,2025-03-03,17.17,17.17,3.74,6.14,16902,580,2025-03-04
O:SPY250304C00580000,2025-03-04,2.78,5.34,0.01,0.1,824922,580,2025-03-04
O:SPY250304C00581000,2025-03-03,12.27,13.4,3.25,5.47,13190,581,2025-03-04
O:SPY250304C00581000,2025-03-04,2.28,4.45,0.01,0.01,392389,581,2025-03-04
O:SPY250304C00582000,2025-03-03,14.53,15.46,2.79,4.78,25044,582,2025-03-04
O:SPY250304C00582000,2025-03-04,1.84,3.57,0.01,0.01,484436,582,2025-03-04
O:SPY250304C00583000,2025-03-03,13.48,14.65,2.35,4.15,27536,583,2025-03-04
O:SPY250304C00583000,2025-03-04,1.47,2.75,0.01,0.01,408362,583,2025-03-04
O:SPY250304C00584000,2025-03-03,12.53,13.41,1.98,3.52,30598,584,2025-03-04
O:SPY250304C00584000,2025-03-04,1.12,2.03,0.01,0.01,329185,584,2025-03-04
O:SPY250304C00585000,2025-03-03,11.63,12.81,1.65,3.02,41869,585,2025-03-04
O:SPY250304C00585000,2025-03-04,0.86,1.42,0.01,0.01,450326,585,2025-03-04
O:SPY250304C00586000,2025-03-03,10.34,11.59,1.37,2.5,23702,586,2025-03-04
O:SPY250304C00586000,2025-03-04,0.67,0.96,0.01,0.01,217212,586,2025-03-04
O:SPY250304C00587000,2025-03-03,9.88,10.64,1.15,2.03,27048,587,2025-03-04
O:SPY250304C00587000,2025-03-04,0.48,0.59,0.01,0.01,209979,587,2025-03-04
O:SPY250304C00588000,2025-03-03,9.01,10.12,0.91,1.69,40426,588,2025-03-04
O:SPY250304C00588000,2025-03-04,0.35,0.44,0.01,0.01,236259,588,2025-03-04
O:SPY250304C00589000,2025-03-03,8.28,9.14,0.73,1.32,48363,589,2025-03-04
O:SPY250304C00589000,2025-03-04,0.22,0.32,0.01,0.01,230939,589,2025-03-04
O:SPY250304C00590000,2025-03-03,7.24,8.28,0.59,1.05,128263,590,2025-03-04
O:SPY250304C00590000,2025-03-04,0.15,0.23,0.01,0.01,251269,590,2025-03-04
O:SPY250304C00591000,2025-03-03,6.59,7.54,0.46,0.8,69288,591,2025-03-04
O:SPY250304C00591000,2025-03-04,0.11,0.16,0.01,0.01,107141,591,2025-03-04
O:SPY250304C00592000,2025-03-03,6,6.76,0.38,0.6,66555,592,2025-03-04
O:SPY250304C00592000,2025-03-04,0.08,0.11,0.01,0.01,64494,592,2025-03-04
O:SPY250304C00593000,2025-03-03,5.14,5.96,0.3,0.45,97742,593,2025-03-04
O:SPY250304C00593000,2025-03-04,0.06,0.08,0.01,0.01,40400,593,2025-03-04
O:SPY250304C00594000,2025-03-03,4.49,5.21,0.23,0.33,113200,594,2025-03-04
O:SPY250304C00594000,2025-03-04,0.03,0.06,0.01,0.01,27344,594,2025-03-04
O:SPY250304C00595000,2025-03-03,3.76,4.52,0.18,0.22,138502,595,2025-03-04
O:SPY250304C00595000,2025-03-04,0.03,0.07,0.01,0.01,23920,595,2025-03-04
O:SPY250304C00596000,2025-03-03,3.21,3.88,0.15,0.16,93258,596,2025-03-04
O:SPY250304C00596000,2025-03-04,0.01,0.03,0.01,0.01,13255,596,2025-03-04
O:SPY250304C00597000,2025-03-03,2.66,3.26,0.1,0.11,85043,597,2025-03-04
O:SPY250304C00597000,2025-03-04,0.02,0.03,0.01,0.01,13919,597,2025-03-04
O:SPY250304C00598000,2025-03-03,2.16,2.69,0.07,0.08,98609,598,2025-03-04
O:SPY250304C00598000,2025-03-04,0.02,0.03,0.01,0.01,12760,598,2025-03-04
O:SPY250304C00599000,2025-03-03,1.72,2.16,0.04,0.04,56197,599,2025-03-04
O:SPY250304C00599000,2025-03-04,0.02,0.02,0.01,0.01,6696,599,2025-03-04
O:SPY250304C00600000,2025-03-03,1.33,1.71,0.03,0.04,114579,600,2025-03-04
O:SPY250304C00600000,2025-03-04,0.01,0.02,0.01,0.01,5232,600,2025-03-04
O:SPY250304C00601000,2025-03-03,1.04,1.31,0.02,0.02,34309,601,2025-03-04
O:SPY250304C00601000,2025-03-04,0.01,0.03,0.01,0.01,936,601,2025-03-04
O:SPY250304C00602000,2025-03-03,0.69,0.97,0.02,0.02,40112,602,2025-03-04
O:SPY250304C00602000,2025-03-04,0.01,0.01,0.01,0.01,884,602,2025-03-04
O:SPY250304C00603000,2025-03-03,0.5,0.69,0.01,0.02,39130,603,2025-03-04
O:SPY250304C00603000,2025-03-04,0.01,0.01,0.01,0.01,942,603,2025-03-04
O:SPY250304C00604000,2025-03-03,0.38,0.47,0.01,0.01,21253,604,2025-03-04
O:SPY250304C00604000,2025-03-04,0.02,0.02,0.01,0.01,228,604,2025-03-04
O:SPY250304C00605000,2025-03-03,0.23,0.31,0.01,0.02,32568,605,2025-03-04
O:SPY250304C00605000,2025-03-04,0.01,0.03,0.01,0.01,218,605,2025-03-04
O:SPY250304C00606000,2025-03-03,0.15,0.2,0.01,0.01,11616,606,2025-03-04
O:SPY250304C00606000,2025-03-04,0.01,0.01,0.01,0.01,86,606,2025-03-04
O:SPY250304C00607000,2025-03-03,0.08,0.12,0.01,0.01,11908,607,2025-03-04
O:SPY250304C00607000,2025-03-04,0.01,0.01,0.01,0.01,274,607,2025-03-04
O:SPY250304C00608000,2025-03-03,0.05,0.07,0.01,0.01,6375,608,2025-03-04
O:SPY250304C00608000,2025-03-04,0.01,0.01,0.01,0.01,568,608,2025-03-04
O:SPY250304C00609000,2025-03-03,0.04,0.04,0.01,0.01,4874,609,2025-03-04
O:SPY250304C00609000,2025-03-04,0.01,0.01,0.01,0.01,414,609,2025-03-04
O:SPY250304C00610000,2025-03-03,0.03,0.07,0.01,0.01,6456,610,2025-03-04
O:SPY250304C00610000,2025-03-04,0.01,0.01,0.01,0.01,538,610,2025-03-04
O:SPY250304C00611000,2025-03-03,0.01,0.02,0.01,0.01,4546,611,2025-03-04
O:SPY250304C00611000,2025-03-04,0.01,0.01,0.01,0.01,26,611,2025-03-04
O:SPY250304C00612000,2025-03-03,0.01,0.02,0.01,0.01,3098,612,2025-03-04
O:SPY250304C00612000,2025-03-04,0.01,0.01,0.01,0.01,16,612,2025-03-04
O:SPY250304C00613000,2025-03-03,0.01,0.02,0.01,0.01,5150,613,2025-03-04
O:SPY250304C00613000,2025-03-04,0.01,0.01,0.01,0.01,42,613,2025-03-04
O:SPY250304C00614000,2025-03-03,0.01,0.01,0.01,0.01,6496,614,2025-03-04
O:SPY250304C00615000,2025-03-03,0.01,0.01,0.01,0.01,44,615,2025-03-04
O:SPY250304C00615000,2025-03-04,0.01,0.01,0.01,0.01,2,615,2025-03-04
O:SPY250304C00616000,2025-03-03,0.01,0.01,0.01,0.01,4,616,2025-03-04
O:SPY250304C00616000,2025-03-04,0.01,0.01,0.01,0.01,162,616,2025-03-04
O:SPY250304C00617000,2025-03-03,0.01,0.01,0.01,0.01,2,617,2025-03-04
O:SPY250304C00617000,2025-03-04,0.01,0.01,0.01,0.01,2,617,2025-03-04
O:SPY250304C00618000,2025-03-04,0.01,0.01,0.01,0.01,112,618,2025-03-04
O:SPY250304C00619000,2025-03-03,0.01,0.01,0.01,0.01,4,619,2025-03-04
O:SPY250304C00619000,2025-03-04,0.01,0.01,0.01,0.01,112,619,2025-03-04
O:SPY250304C00620000,2025-03-03,0.01,0.01,0.01,0.01,272,620,2025-03-04
O:SPY250304C00620000,2025-03-04,0.01,0.01,0.01,0.01,10,620,2025-03-04
O:SPY250304C00621000,2025-03-03,0.01,0.01,0.01,0.01,2,621,2025-03-04
O:SPY250304C00622000,2025-03-03,0.01,0.01,0.01,0.01,2,622,2025-03-04
O:SPY250304C00623000,2025-03-03,0.01,0.01,0.01,0.01,2,623,2025-03-04
O:SPY250304C00623000,2025-03-04,0.01,0.01,0.01,0.01,240,623,2025-03-04
O:SPY250304C00625000,2025-03-03,0.01,0.01,0.01,0.01,4,625,2025-03-04
O:SPY250304C00625000,2025-03-04,0.01,0.01,0.01,0.01,6,625,2025-03-04
O:SPY250304C00639000,2025-03-04,0.01,0.01,0.01,0.01,12,639,2025-03-04
O:SPY250304C00675000,2025-03-04,0.01,0.01,0.01,0.01,2,675,2025-03-04
O:SPY250304C00695000,2025-03-03,0.01,0.01,0.01,0.01,20,695,2025-03-04
O:SPY250304C00700000,2025-03-04,0.01,0.01,0.01,0.01,26,700,2025-03-04
O:SPY250304P00400000,2025-03-03,0.01,0.01,0.01,0.01,2,400,2025-03-04
O:SPY250304P00400000,2025-03-04,0.01,0.01,0.01,0.01,6,400,2025-03-04
O:SPY250304P00440000,2025-03-04,0.01,0.01,0.01,0.01,2,440,2025-03-04
O:SPY250304P00445000,2025-03-03,0.01,0.01,0.01,0.01,2,445,2025-03-04
O:SPY250304P00485000,2025-03-03,0.01,0.01,0.01,0.01,12,485,2025-03-04
O:SPY250304P00485000,2025-03-04,0.01,0.01,0.01,0.01,2,485,2025-03-04
O:SPY250304P00490000,2025-03-03,0.01,0.02,0.01,0.01,374,490,2025-03-04
O:SPY250304P00490000,2025-03-04,0.01,0.01,0.01,0.01,100,490,2025-03-04
O:SPY250304P00495000,2025-03-03,0.01,0.02,0.01,0.01,284,495,2025-03-04
O:SPY250304P00500000,2025-03-03,0.01,0.02,0.01,0.01,270,500,2025-03-04
O:SPY250304P00500000,2025-03-04,0.01,0.01,0.01,0.01,4,500,2025-03-04
O:SPY250304P00505000,2025-03-03,0.01,0.02,0.01,0.01,20,505,2025-03-04
